user_id,session_id,event_name,event_timestamp,product_id,category,price,device_type,traffic_source,country,view_flag,cart_flag,purchase_flag
1333,sess_ebdc6c7379e3,add_to_cart,10-03-2024 22:22,PROD_7753,Beauty,16466.98,tablet,organic,australia,0,1,0
3249,sess_226b171c312b,add_to_cart,05-03-2024 06:10,PROD_8143,Beauty,,mobile,organic,brazil,0,1,0
3284,sess_129ae99a4cbe,add_to_cart,23-03-2024 21:30,PROD_6504,Books,78.27,mobile,organic,canada,0,1,0
3201,sess_a8a5628c88ac,view,19-08-2024 03:28,PROD_3911,Home & Kitchn,,mobile,ads,mexico,1,0,0
3845,sess_3a42ccd01a44,view,16-10-2024 22:18,PROD_5277,Toys,22905.96,tablet,direct,uk,1,0,0
1006,sess_15f92a0feaf4,view,31-08-2024 08:13,PROD_2269,Sports,288.28,tablet,direct,germany,1,0,0
1426,sess_18ddaddcd50b,view,05-11-2024 16:03,PROD_4323,Home & Kitchen,469.8,desktop,ads,india,1,0,0
3902,sess_90234722f7af,add_to_cart,12-03-2024 06:49,PROD_6997,Books,94675.81,mobile,direct,canada,0,1,0
1298,sess_ad1fe1558ca8,view,27-07-2024 18:07,PROD_8126,Books,18.65,mobile,organic,mexico,1,0,0
1213,sess_3caa92c3f87e,add_to_cart,03-02-2024 13:36,PROD_5914,Jewelry,1355.05,mobile,ads,uk,0,1,0
3799,sess_dca04dc8c6e4,add_to_cart,09-12-2024 01:46,PROD_5499,Home & Kitchn,,tablet,organic,uae,0,1,0
2186,sess_edf49e2f783a,add_to_cart,16-07-2024 21:22,PROD_3526,Automotive,746.71,desktop,organic,australia,0,1,0
1002,sess_7c025740489b,view,24-03-2024 12:19,PROD_1916,Books,22.18,tablet,ads,france,1,0,0
3862,sess_d8517e59fddf,purchase,16-07-2024 21:43,PROD_9307,Toyss,194.24,tablet,referral,usa,0,0,1
1457,sess_a2c75ee3bdc7,add_to_cart,22-08-2024 21:14,PROD_7069,Electronics,1614.52,tablet,organic,france,0,1,0
1293,sess_1c765bd40bb7,view,20-01-2024 03:17,PROD_4360,Home & Kitchen,116.68,tablet,ads,canada,1,0,0
3785,sess_44950dc5dd3d,add_to_cart,29-09-2024 18:21,PROD_1422,Food & Grocery,45.77,desktop,referral,canada,0,1,0
3897,sess_b2614c1854a4,view,06-05-2024 13:13,PROD_3959,Toys,,mobile,referral,mexico,1,0,0
1063,sess_c82ce44ce5c8,add_to_cart,06-05-2024 08:27,PROD_7626,Books,79.06,tablet,direct,mexico,0,1,0
2595,sess_c184e62c49b5,view,10-08-2024 22:25,,Jewelry,2306.41,tablet,ads,france,1,0,0
3606,sess_ff45dc0efbf4,view,13-12-2024 12:04,PROD_7531,Electronics,314.83,mobile,organic,mexico,1,0,0
2174,sess_8ca4a06af609,add_to_cart,15-01-2025 05:06,PROD_8432,Jewelry,840.27,desktop,ads,usa,0,1,0
1556,sess_e265a9694289,add_to_cart,06-03-2024 13:45,PROD_1089,Home & Kitchen,59.47,mobile,referral,usa,0,1,0
2914,sess_1008e79246ca,view,03-03-2024 23:05,PROD_9464,Books,74.31,mobile,organic,uk,1,0,0
3555,sess_c4cafcef8788,view,14-01-2024 11:28,PROD_8738,Books,67.24,mobile,ads,mexico,1,0,0
1374,sess_a5ed0586dd86,add_to_cart,11-12-2024 10:07,PROD_3646,Electronics,1649.21,tablet,ads,australia,0,1,0
3976,sess_db97bf7af171,add_to_cart,28-02-2024 19:29,PROD_4630,Toys,68.23,mobile,referral,france,0,1,0
2580,sess_8b1f61ef9c87,view,10-08-2024 20:25,PROD_8807,Food & Grocery,25.4,tablet,direct,australia,1,0,0
2348,sess_927f4015e667,view,06-09-2024 17:04,PROD_9440,Food & Grocery,43.01,tablet,organic,brazil,1,0,0
3558,sess_877ce8f03d9a,add_to_cart,22-08-2024 22:31,PROD_5276,Food & Grocery,19.53,tablet,organic,singapore,0,1,0
3498,sess_83e895d782e0,add_to_cart,05-06-2024 00:46,PROD_8981,Electronics,1928.59,desktop,ads,usa,0,1,0
1834,sess_2c262aa91cd2,view,10-09-2024 13:23,PROD_9841,Sports,136.2,mobile,ads,germany,1,0,0
1545,sess_0a5863bf9251,purchase,17-04-2024 02:45,PROD_3743,Food & Grocery,48.34,mobile,referral,germany,0,0,1
1172,sess_aac7c050307c,add_to_cart,22-10-2024 12:55,PROD_5565,Automotve,731.49,desktop,,uae,0,1,0
2950,sess_cf9cd5991557,add_to_cart,16-07-2024 23:48,PROD_9356,,79.6,mobile,referral,india,0,1,0
1040,sess_22035a25c973,view,24-08-2024 14:24,PROD_5783,Electronics,1185.84,mobile,ads,usa,1,0,0
2873,sess_b08d44dc53b2,view,13-09-2024 07:08,PROD_4957,,635.48,tablet,organic,france,1,0,0
1305,sess_9f6aaacd1c55,add_to_cart,02-09-2024 08:06,PROD_4735,Home & Kitchn,70.71,desktop,organic,usa,0,1,0
1869,sess_a916e4c3d190,purchase,02-07-2024 14:11,PROD_8412,Toys,156.05,desktop,organic,australia,0,0,1
1127,sess_8b66465240a6,view,01-03-2024 12:22,PROD_4575,Food & Grocery,26.74,tablet,direct,uae,1,0,0
2475,sess_f2ed28036669,view,22-12-2024 19:09,PROD_7182,Beauty,,mobile,direct,australia,1,0,0
2109,sess_34b7d1c3aee6,view,26-05-2024 12:14,PROD_8851,Beauty,20.22,mobile,,uk,1,0,0
2346,sess_4b6cc459f156,add_to_cart,12-10-2024 03:43,PROD_6052,Home & Kitchen,493.35,desktop,organic,usa,0,1,0
1743,sess_c48c52814d66,view,16-07-2024 18:24,PROD_3218,Electronics,1876.39,desktop,direct,australia,1,0,0
3469,sess_cacbe1c4877a,add_to_cart,20-12-2024 05:39,PROD_2555,Electroniics,465.5,mobile,direct,japan,0,1,0
1633,sess_b2a8302e8d89,view,04-08-2024 17:26,PROD_5844,Jewelry,2377.77,mobile,organic,mexico,1,0,0
